YEAR,OFFICE,CONSTITUENCY,REGION,REGISTERED_VOTERS,VOTES_CAST,VALID_VOTES,VOTES_REJECTED,NPP,PPP,PNC,NDC,DFP,DPP,CPP,RPD,NRP,UGM,UFP,URP,YPP,EGLE,GCPP,GFP,GNP,NVP,NDP,NCP,PCP,IPC,IPP,APC,UPP,IND1,IND2,IND3,IND4,NPP_C,PPP_C,PNC_C,NDC_C,DFP_C,DPP_C,CPP_C,RPD_C,NRP_C,UGM_C,UFP_C,URP_C,YPP_C,EGLE_C,GCPP_C,GFP_C,GNP_C,NVP_C,NDP_C,NCP_C,PCP_C,IPC_C,IPP_C,APC_C,UPP_C,IND1_C,IND2_C,IND3_C,IND4_C
2008,Parliament,Afadjato South,Volta,,,19928,,"1,489",,,"18,340",,99,,,,,,,,,,,,,,,,,,,,,,,,HAYFORD KUGBLENU,,,JOSEPH ZEPHANAT AMENOWODE,,KETEKU PROSPER MAWUKO KORSI,,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Agotime Ziope,Volta,,,10511,,736,,137,"13,118",135,,241,,,,,,,,,,,,,,,,,,,"9,262",,,,VICTUS C.K. AVUWORDAH,,MISS SARAH KPORKU,JULIANA AZUMAH-MENSAH,MICHAEL YAW GAMOR,,BENEDICTA DATSOMOR,,,,,,,,,,,,,,,,,,,SAMUEL C.K. BUAME,,,
2008,Parliament,Akan,Volta,37240,23863,23438,,7989,,263,13730,97,,121,,,,,,,,,,,,,,,,,,,791,362,85,,Kofi Adjei Ntim,,Maxwell Gyambiby-Asong,Joseph Kwadwo Ofori,Justice Nkani,,Rashid Alao,,,,,,,,,,,,,,,,,,,George Harrison Kankam Tweneboah,Ahmed Miniru,Solomon Okoree,
2008,Parliament,Akatsi South,Volta,,,34391,,"1,955",,,"23,419","1,776",70,619,,,,,,,,,,,,,,,,,,,"6,552",,,,ABLEDU ANTHONY KOFI,,,Edward Korbly Doe Adjaho,KLUTSE D. TONY,AGBOVI WISDOM,VICENT NORGBEDZI,,,,,,,,,,,,,,,,,,,SETH DOMINIC AGLAGO,,,
2008,Parliament,Anlo,Volta,46653,32158,31769,,1361,,263,29185,147,,813,,,,,,,,,,,,,,,,,,,,,,,Edward Kofi Ahiabor,,Charles Mawuena Tay,Clement Kofi Homado,Seth Raphael Adzokpa,,Amelor Godwin,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Avenor-Ave,Volta,54440,35176,34391,,1955,,,23419,1776,70,619,,,,,,,,,,,,,,,,,,,6552,,,,Abledu Anthony Kofi,,,Edward Korbla Doe Adjaho,Klutse D. Tony,Agbovi Wisdom,Vincent Norgbedzi Kudzo,,,,,,,,,,,,,,,,,,,Seth Dominic Aglago,,,
2008,Parliament,Biakoye,Volta,35737,24533,24207,,7126,,,16083,275,57,666,,,,,,,,,,,,,,,,,,,,,,,Kwasi Owusu-Yeboa,,,Emmanuel Kwasi Bandua,,Richard Amoako,Kpentey Philip,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Buem,Volta,30067,19596,19393,,5340,,,12766,353,,179,,,,,,,,,,,,,,,,,,,755,,,,Bob-Charles Agbentor,,,Henry Ford Kamel,Patience Ama Yirenkyi,,Kwabena Ahenkora Osei Boahene,,,,,,,,,,,,,,,,,,,Obeng Akyea Richard Asafoatse,,,
2008,Parliament,Central Tongu,Volta,32743,23278,22861,,4110,,,16598,155,,1998,,,,,,,,,,,,,,,,,,,,,,,Thomas Moore Zonyirah,,,Joe Kwashie Gidisu,Emmanuel Kumah Atsem,,Mrs Victoria Norgbey Amaglo,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Ho Central,Volta,82031,54734,54327,,6228,,404,47036,288,,371,,,,,,,,,,,,,,,,,,,,,,,Dr. Archibald Yao Letsa,,Diana Kafui Nana,Capt (Rtd) George Kofi Nfojoh,Manfred Nuku-Dei,,Osei Moses Ernest Kwasi,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Ho East,Volta,35233,24013,23629,,736,,137,13118,135,,241,,,,,,,,,,,,,,,,,,,9262,,,,Victus C. K. Avuwordah,,Sarah Kporku,Juliana Azumah-Mensah,Michael Yao Gamor,,Benedicta Datsomor,,,,,,,,,,,,,,,,,,,Dr. Samuel C.K. Buame,,,
2008,Parliament,Ho West,Volta,44155,28519,28216,,3226,,,24677,,,313,,,,,,,,,,,,,,,,,,,,,,,Mawutor Goh,,,Emmanuel Kwasi Bedzra,Deletsu Alfred,,Foster Segbe,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Hohoe North,Volta,62979,38710,38315,,8224,,314,28169,1242,,366,,,,,,,,,,,,,,,,,,,,,,,Joh+AL196:AM205n-Peteramewu,,Victor Nyaxo,Prince Jacob Hayibor,Mordzinu Benedictus Kwaku,,Paul Robert Addo,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Hohoe South,Volta,31498,20757,20605,,1489,,,18340,677,99,,,,,,,,,,,,,,,,,,,,,,,,Hayford Kugblenu,,,Hon. Joseph Z. Amenowode,Forster Kpordzih,Keteku Prosper Mawuko Korsi,,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Keta,Volta,42303,30471,30183,,1406,,437,27247,,,1093,,,,,,,,,,,,,,,,,,,,,,,Kudjoe Fianu,,Ferdinand Fiawo Piccolo,Richard Lasseey Agbenyefia,,,Emmanuel Dzidzeme Aidam,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Ketu North,Volta,53159,36107,35537,,10894,,316,24124,,102,101,,,,,,,,,,,,,,,,,,,,,,,Kofi Dzamesi,,Agbogli Nicholas,James Klutse Avedzi,,Ablorh Daniel,Yibor Benedicta,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Ketu South,Volta,98283,61810,61011,,3446,,1142,54720,416,,1287,,,,,,,,,,,,,,,,,,,,,,,Kodjo Peterson Miida Dje,,Emmanuel Freeman Azinogo,Albert Kwasi Zigah,Godwin Tay,,Pascal Kwabla Kumaza,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Kpando ,Volta,,,34468,,"3,458",,,"30,566",87,,357,,,,,,,,,,,,,,,,,,,,,,,KEN STEPHEN ANKU,,,Akua Sena Dansua,RAPHAEL YAO MENU,,BRIKU NELSON YESUTOR,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Krachi East,Volta,33268,22127,21696,,8263,,,12340,146,,947,,,,,,,,,,,,,,,,,,,,,,,Patrick Charty Jilimah,,,Wisdom Gidisu,Joseph Kwaku Asiedu,,Boateng Kofi Emmanuel,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Krachi West,Volta,51528,34857,33869,,10437,,,14229,,602,648,,,,,,,,,,,,,,,,,,,7953,,,,Osei-Nti Douglas,,,Francis Yaw Osei-Sarfo,,Alhassan Ibraham Salim,Mapram James Adamu,,,,,,,,,,,,,,,,,,,Kofi Tarkum Tarlor,,,
2008,Parliament,Nkwanta North,Volta,29233,22211,21655,,9426,,8680,3241,,,,,,,,,,,,,,,,,,,,,,308,,,,Joseph Kwaku Nayan,,Emmanuel Kwadjo Gmanab,Dr. Joseph Kwabena Manboah-Rckson,,,,,,,,,,,,,,,,,,,,,,Solomon Kwame Bachabori,,,
2008,Parliament,Nkwanta South,Volta,46037,32103,31479,,12271,,,18171,,,,,,,,,,,,,,,,,,,,,,440,358,239,,Joseph Booker Yaw Denteh,,,Gersjpm Kofi Bediako Gbediame,,,,,,,,,,,,,,,,,,,,,,David Boamah Asomani,Oliver Ayivi,Okogye A. K. Joseph,
2008,Parliament,North Dayi,Volta,54034,35173,34875,,6237,,,26734,138,,1766,,,,,,,,,,,,,,,,,,,,,,,Ken Stephen Anku,,,Hon Akua Sena Dansua,Raphael Yao Menu,,Briku Nelson Yesutor,,,,,,,,,,,,,,,,,,,,,,
